".y.","group1","group2","estimate","conf.low","conf.high","p.adj","p.adj.signif","DV"
"PC1","East","Central",-1.83296446361134,-2.94204873599953,-0.723880191223148,0.00018,"***","PC1"
"PC1","East","West",-4.99454932018227,-6.14648870514676,-3.84260993521778,1.9e-14,"****","PC1"
"PC1","East","Northeast",-3.48068370358963,-4.59143089297851,-2.36993651420075,2.46e-12,"****","PC1"
"PC1","Central","West",-3.16158485657092,-4.14612170815696,-2.17704800498489,2.19e-13,"****","PC1"
"PC1","Central","Northeast",-1.64771923997829,-2.58652256128413,-0.708915918672447,9.08e-05,"****","PC1"
"PC1","West","Northeast",1.51386561659263,0.526267016247056,2.50146421693821,0.000667,"***","PC1"
"PC2","East","Central",-1.7577835466268,-2.47372558734402,-1.04184150590958,1.25e-08,"****","PC2"
"PC2","East","West",-0.973690119832954,-1.63669232627278,-0.31068791339313,0.001,"***","PC2"
"PC2","East","Northeast",-1.00284246168892,-1.73811594416966,-0.26756897920817,0.003,"**","PC2"
"PC2","Central","West",0.784093426793843,0.341972552679992,1.22621430090769,5.91e-05,"****","PC2"
"PC2","Central","Northeast",0.754941084937881,0.206140202698031,1.30374196717773,0.003,"**","PC2"
"PC2","West","Northeast",-0.0291523418559621,-0.507542436950203,0.449237753238279,0.998,"ns","PC2"
"PC3","East","Central",0.157467421750452,-0.377987132940362,0.692921976441265,0.87,"ns","PC3"
"PC3","East","West",1.19224029916106,0.736665588203565,1.64781501011856,7.79e-10,"****","PC3"
"PC3","East","Northeast",0.526570587230094,-0.10367514157896,1.15681631603915,0.133,"ns","PC3"
"PC3","Central","West",1.03477287741061,0.536650960866795,1.53289479395443,1.92e-06,"****","PC3"
"PC3","Central","Northeast",0.369103165479642,-0.290187145555304,1.02839347651459,0.457,"ns","PC3"
"PC3","West","Northeast",-0.665669711930969,-1.26609946543722,-0.0652399584247142,0.024,"*","PC3"
"PC4","East","Central",-0.502739895718463,-0.851433483467845,-0.15404630796908,0.001,"***","PC4"
"PC4","East","West",-0.0905749456902256,-0.500133558358905,0.318983666978454,0.94,"ns","PC4"
"PC4","East","Northeast",-0.753318624099393,-1.08214594433294,-0.424491303865845,1.43e-07,"****","PC4"
"PC4","Central","West",0.412164950028237,0.0354852867708332,0.788844613285641,0.026,"*","PC4"
"PC4","Central","Northeast",-0.250578728380931,-0.537747526436147,0.0365900696742858,0.109,"ns","PC4"
"PC4","West","Northeast",-0.662743678409168,-1.02104452847287,-0.304442828345461,2.24e-05,"****","PC4"
